Year, Total Population, Avg Temperature, Built-Up, Vegetation, Pollution, Traffic, Urban Heat Index
1995, 300, 6.722824217261179, 49.79341934411054, 17.939289603613368, 79.63735745181334, 79.46461972819485, -18.277175782738823
1996, 300, 6.722824217261179, 49.79341934411056, 17.939289603613386, 79.63735745181344, 79.46461972819486, -18.277175782738823
1997, 300, 6.722824217261179, 49.79341934411055, 17.939289603613364, 79.6373574518132, 79.46461972819472, -18.277175782738823
1998, 300, 6.722824217261179, 49.793419344110596, 17.939289603613357, 79.63735745181337, 79.46461972819476, -18.277175782738823
1999, 300, 6.722824217261179, 49.79341934411058, 17.939289603613357, 79.63735745181349, 79.46461972819488, -18.277175782738823
2000, 300, 6.722824217261179, 49.793419344110504, 17.93928960361337, 79.63735745181334, 79.46461972819488, -18.277175782738823
2001, 300, 6.722824217261179, 49.79341934411054, 17.939289603613407, 79.63735745181353, 79.46461972819492, -18.277175782738823
2002, 300, 6.722824217261179, 49.79341934411064, 17.93928960361335, 79.63735745181347, 79.46461972819488, -18.277175782738823
2003, 300, 6.722824217261179, 49.79341934411058, 17.93928960361338, 79.63735745181347, 79.4646197281948, -18.277175782738823
2004, 300, 6.722824217261179, 49.793419344110596, 17.93928960361337, 79.63735745181344, 79.46461972819496, -18.277175782738823
2005, 300, 6.722824217261179, 49.793419344110525, 17.93928960361338, 79.63735745181341, 79.46461972819473, -18.277175782738823
2006, 300, 6.722824217261179, 49.79341934411062, 17.93928960361337, 79.63735745181359, 79.46461972819479, -18.277175782738823
2007, 300, 6.722824217261179, 49.79341934411064, 17.93928960361338, 79.63735745181347, 79.46461972819489, -18.277175782738823
2008, 300, 6.722824217261179, 49.793419344110575, 17.939289603613382, 79.63735745181357, 79.46461972819492, -18.277175782738823
2009, 300, 6.722824217261179, 49.79341934411055, 17.9392896036134, 79.6373574518134, 79.46461972819482, -18.277175782738823
2010, 300, 6.722824217261179, 49.793419344110504, 17.93928960361337, 79.63735745181343, 79.4646197281948, -18.277175782738823
2011, 300, 6.722824217261179, 49.793419344110504, 17.93928960361336, 79.63735745181359, 79.46461972819485, -18.277175782738823
2012, 300, 6.722824217261179, 49.793419344110596, 17.939289603613393, 79.63735745181347, 79.46461972819486, -18.277175782738823
2013, 300, 6.722824217261179, 49.79341934411065, 17.939289603613357, 79.63735745181344, 79.46461972819492, -18.277175782738823
2014, 300, 6.722824217261179, 49.793419344110625, 17.939289603613354, 79.63735745181341, 79.46461972819485, -18.277175782738823
2015, 300, 6.722824217261179, 49.793419344110596, 17.93928960361337, 79.6373574518134, 79.46461972819485, -18.277175782738823
2016, 300, 6.722824217261179, 49.79341934411053, 17.939289603613382, 79.63735745181347, 79.46461972819495, -18.277175782738823
2017, 300, 6.722824217261179, 49.79341934411061, 17.93928960361337, 79.63735745181341, 79.46461972819493, -18.277175782738823
2018, 300, 6.722824217261179, 49.793419344110575, 17.939289603613368, 79.63735745181341, 79.46461972819495, -18.277175782738823
2019, 300, 6.722824217261179, 49.79341934411053, 17.93928960361337, 79.63735745181341, 79.46461972819479, -18.277175782738823
2020, 300, 6.722824217261179, 49.793419344110525, 17.939289603613393, 79.63735745181349, 79.46461972819486, -18.277175782738823
2021, 300, 6.722824217261179, 49.79341934411064, 17.9392896036134, 79.63735745181347, 79.46461972819486, -18.277175782738823
2022, 300, 6.722824217261179, 49.793419344110646, 17.939289603613396, 79.63735745181343, 79.46461972819479, -18.277175782738823
2023, 300, 6.722824217261179, 49.793419344110646, 17.939289603613382, 79.63735745181343, 79.46461972819485, -18.277175782738823
2024, 300, 6.722824217261179, 49.79341934411062, 17.939289603613386, 79.63735745181351, 79.464619728195, -18.277175782738823
