Year,Traffic_Density (vehicles/km²)
1995,1000.0
1996,1379.3103448275863
1997,1758.6206896551726
1998,2137.9310344827586
1999,2517.241379310345
2000,2896.551724137931
2001,3275.862068965517
2002,3655.1724137931037
2003,4034.4827586206898
2004,4413.793103448275
2005,4793.103448275862
2006,5172.413793103448
2007,5551.724137931034
2008,5931.0344827586205
2009,6310.344827586207
2010,6689.6551724137935
2011,7068.9655172413795
2012,7448.275862068966
2013,7827.586206896552
2014,8206.896551724138
2015,8586.206896551725
2016,8965.517241379312
2017,9344.827586206897
2018,9724.137931034484
2019,10103.448275862069
2020,10482.758620689656
2021,10862.068965517241
2022,11241.379310344828
2023,11620.689655172415
2024,12000.0
