Month / ,Temperature (°F),,,Dew Point (°F),,,Humidity (%),,,Wind Speed (mph),,,Pressure (in),,,Precipitation (in)
Year,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Max,Avg,Min,Total
Jan-14,65.58,55.74,46.16,55.55,52.11,48.42,99.84,87.35,62.84,6.16,2.69,0.58,29.41,29.36,29.29,0.00
Feb-14,71.32,59.77,47.18,56.11,52.60,48.46,97.29,77.87,48.96,11.71,4.00,0.25,29.28,29.22,29.15,0.00
Mar-14,82.13,71.19,61.29,62.19,58.74,54.77,91.23,68.36,42.32,10.00,4.57,0.48,17.95,13.58,11.29,0.00
Apr-14,94.27,83.48,70.67,63.83,59.53,55.57,71.77,47.82,29.23,12.20,5.58,1.07,0.00,0.00,0.00,0.00
May-14,99.48,88.58,77.03,69.97,65.63,61.19,73.00,49.97,31.00,10.94,5.29,0.81,0.00,0.00,0.00,0.00
Jun-14,103.67,94.54,85.07,75.50,72.01,68.33,68.00,51.35,36.30,13.77,6.22,0.70,0.00,0.00,0.00,0.00
Jul-14,96.52,89.43,80.97,79.48,77.48,75.06,82.87,68.09,52.81,11.97,4.93,0.65,0.00,0.00,0.00,0.00
Aug-14,94.74,87.99,77.42,78.10,75.75,73.52,80.81,66.53,50.97,9.87,4.59,0.87,0.00,0.00,0.00,0.00
Sep-14,93.47,85.31,74.17,76.53,73.61,70.57,85.17,67.85,47.50,13.90,4.85,0.40,0.00,0.00,0.00,0.00
Oct-14,90.97,80.55,68.55,69.42,66.02,62.06,86.52,63.37,38.65,5.55,1.66,0.00,0.00,0.00,0.00,0.00
Nov-14,83.10,67.97,56.73,57.20,52.95,47.87,86.53,62.91,30.67,6.97,1.97,0.00,0.00,0.00,0.00,0.00
Dec-14,70.90,57.57,48.52,53.65,47.80,42.26,92.77,74.30,45.00,7.42,2.54,0.00,0.00,0.00,0.00,0.00
Jan-15,63.55,54.22,44.16,51.68,49.14,46.16,96.84,81.22,54.74,8.48,3.08,0.19,0.00,0.00,0.00,0.00
Feb-15,78.11,66.19,53.46,58.14,54.73,50.29,91.00,69.02,41.50,8.75,4.11,0.36,0.00,0.00,0.00,0.00
Mar-15,81.61,71.73,61.19,64.58,60.95,57.45,94.19,71.63,46.16,11.55,5.08,0.71,0.00,0.00,0.00,0.00
Apr-15,93.63,82.11,67.60,69.30,65.13,60.77,80.53,58.31,34.93,15.60,5.60,0.67,0.00,0.00,0.00,0.00
May-15,104.29,93.01,80.55,68.03,62.96,57.48,60.35,40.66,24.29,11.71,5.47,0.58,0.00,0.00,0.00,0.00
Jun-15,99.57,90.65,81.67,74.90,71.73,66.17,75.50,57.04,39.70,11.47,5.65,1.07,1.01,0.13,0.00,0.00
Jul-15,92.77,86.82,81.29,79.06,77.23,75.32,86.32,74.17,58.74,9.26,5.08,1.13,0.00,0.00,0.00,0.00
Aug-15,93.26,87.01,81.42,79.68,77.81,75.55,88.58,75.31,60.32,6.77,2.86,0.19,0.00,0.00,0.00,0.00
Sep-15,95.97,87.96,80.10,74.47,70.41,65.53,78.87,59.14,41.20,10.47,4.61,0.33,1.01,0.43,0.00,0.00
Oct-15,92.58,80.32,65.84,70.71,67.39,63.55,86.26,65.13,41.13,10.26,2.79,0.00,0.00,0.00,0.00,0.00
Nov-15,82.77,69.69,60.17,63.07,59.40,55.80,91.00,72.65,45.50,4.73,1.31,0.00,0.00,0.00,0.00,0.00
Dec-15,72.61,59.06,49.29,54.55,50.86,47.35,95.32,77.10,47.32,6.84,2.36,0.10,0.00,0.00,0.00,0.00
Jan-16,69.52,58.19,49.84,56.16,52.55,48.87,98.19,83.66,57.74,5.71,2.29,0.32,0.00,0.00,0.00,1.14
Feb-16,77.24,64.12,52.00,56.34,53.30,49.83,92.97,70.40,41.48,7.86,3.09,0.31,0.00,0.00,0.00,0.00
